rank,word,weight,topic_id
0,君,0.01548371511370124,0
1,あなた,0.014071271059237354,0
2,僕,0.012738402951079903,0
3,私,0.009232532934920226,0
4,今,0.007762731732789759,0
5,いい,0.007665575969974914,0
6,何,0.007642998324108617,0
7,言う,0.0074548825539096164,0
8,誰,0.007384479581767602,0
9,いつ,0.007314107662259602,0
10,愛,0.0065589315981312,0
11,それ,0.006455676105809392,0
12,人,0.006273473720622495,0
13,心,0.006186554340162119,0
14,恋,0.005765153923369729,0
15,泣く,0.0054794164620410825,0
16,日,0.0053147997346277885,0
17,言葉,0.00527038996885981,0
18,知る,0.005259369620749294,0
19,愛する,0.005142047865991263,0
20,くれる,0.005132263670642772,0
21,時,0.005048790205723966,0
22,手,0.004956191600350292,0
23,笑う,0.004850096400238867,0
24,事,0.004762720313580876,0
25,見る,0.0047441313341291536,0
26,まま,0.004512579341858384,0
27,しまう,0.00444489520301599,0
28,いく,0.004401487991756962,0
29,生きる,0.004335953260392625,0
0,僕,0.014655535198750657,1
1,夢,0.013955707182560239,1
2,君,0.01195134432440012,1
3,今,0.0118295897932999,1
4,いつ,0.008772830392859384,1
5,自分,0.008164661531607494,1
6,未来,0.00801158934854207,1
7,誰,0.007937983850335771,1
8,何,0.007538143092426516,1
9,時,0.007533461459995018,1
10,明日,0.0074727664202243645,1
11,日,0.006938622152310715,1
12,生きる,0.00679778373006043,1
13,それ,0.006149147253153711,1
14,行く,0.006076957130653141,1
15,wow,0.005904264456229665,1
16,見る,0.005852791379990161,1
17,いく,0.005745788251751316,1
18,いい,0.005597450898058418,1
19,どこ,0.005508804794490859,1
20,心,0.0054638850212590006,1
21,道,0.005411396926163102,1
22,日々,0.005391260849757954,1
23,知る,0.005240163540051079,1
24,手,0.005173797944168878,1
25,何度,0.004942896179317203,1
26,もの,0.004855574315329639,1
27,見える,0.004787009805422239,1
28,wow wow,0.004783401878891823,1
29,中,0.004743673690736116,1
0,i,0.027764727041076118,2
1,you,0.02426426262687113,2
2,the,0.017968728241227246,2
3,to,0.01704296088214319,2
4,we,0.015231241917436066,2
5,it,0.014461961276004366,2
6,me,0.012632482187403262,2
7,and,0.012413460692363591,2
8,up,0.011449883243594585,2
9,a,0.011293672363656283,2
10,that,0.009551089570478417,2
11,m,0.009356534026216938,2
12,i m,0.009236260023057356,2
13,this,0.009030910514670655,2
14,is,0.008730674775488579,2
15,in,0.008424633858969155,2
16,let,0.008365761315740884,2
17,it's,0.008117850230392843,2
18,oh,0.007882120284025225,2
19,wow,0.0077531734462232,2
20,be,0.007738333966932021,2
21,s,0.007700725681585177,2
22,don't,0.007694076372303269,2
23,my,0.007557930109419866,2
24,all,0.00751390150933016,2
25,on,0.007288837512271036,2
26,get,0.007250343325054114,2
27,so,0.006894891769134676,2
28,yeah,0.0068724019838700984,2
29,na,0.006804661190428916,2
0,夏,0.016805928152517798,3
1,君,0.014250827170556299,3
2,海,0.010355013087571393,3
3,僕,0.009099811290764353,3
4,恋,0.008765090143106747,3
5,日,0.008711003691660765,3
6,今,0.007111814050244835,3
7,波,0.007108144972255474,3
8,あなた,0.006624023081870017,3
9,何,0.006486553392307046,3
10,手,0.0064608109146533955,3
11,行く,0.006327779299558874,3
12,時,0.0062101498651519855,3
13,心,0.005881612629313399,3
14,見る,0.005855886257843031,3
15,空,0.005792105642939312,3
16,来る,0.005738465475368005,3
17,oh,0.005709498434793055,3
18,いつ,0.005661749058807529,3
19,風,0.0054975523488784315,3
20,どこ,0.005485219133677209,3
21,夢,0.005475160184834661,3
22,二人,0.005274916126363797,3
23,胸,0.005067046721840973,3
24,誰,0.005062691392284119,3
25,くれる,0.0049164261491292365,3
26,中,0.004781677033447258,3
27,涙,0.00464698314315174,3
28,花火,0.004531109234721565,3
29,oh oh,0.004504104325977151,3
0,君,0.0156780141237881,4
1,僕,0.013908267000633861,4
2,月,0.013124377737932671,4
3,空,0.012269686266527528,4
4,星,0.0113472498677481,4
5,行く,0.010693207571825585,4
6,夢,0.010252425476460193,4
7,中,0.007866617476949072,4
8,夜,0.007833235573090418,4
9,見る,0.007595929737969836,4
10,何,0.007463160670452996,4
11,日,0.007125386303991073,4
12,光,0.006492871820678593,4
13,まま,0.006396790310992294,4
14,いつ,0.006208822893667257,4
15,あなた,0.006088778046381056,4
16,どこ,0.005890329005658324,4
17,誰,0.00582492380781859,4
18,the,0.005752263168884161,4
19,道,0.005491508627758646,4
20,今,0.005469245688000213,4
21,dance in the dark,0.005436852897821559,4
22,dance in,0.005436852897821559,4
23,dance in the,0.005436852897821559,4
24,in the dark,0.005363436896589923,4
25,手,0.005363235662438469,4
26,the dark,0.005340704637807287,4
27,心,0.005263331726315461,4
28,traveling,0.005244766526274438,4
29,dark,0.005218887627043963,4
0,君,0.01756555788363181,5
1,僕,0.0145901123474609,5
2,歌う,0.014131178561963552,5
3,歌,0.012602694241841633,5
4,あなた,0.010595080208615033,5
5,くれる,0.006927881044827759,5
6,今,0.0064125457625218195,5
7,o,0.006286003269086224,5
8,誰,0.006148644656601007,5
9,声,0.006145562651197898,5
10,忘れる,0.0058717889147073534,5
11,夢,0.0058056952604981045,5
12,何,0.005793061273664932,5
13,笑う,0.005697190719214339,5
14,行く,0.0056240925496542915,5
15,それ,0.0054614310554858955,5
16,日,0.005419601735475662,5
17,言葉,0.005419161233371154,5
18,私,0.005381798693119286,5
19,いつ,0.0053603111545051756,5
20,人,0.00525987096262285,5
21,空,0.005222597530573865,5
22,いい,0.005180319889708123,5
23,o o,0.00505902315929377,5
24,信ずる,0.004999234093208605,5
